strategy,code,name,start_date,end_date,initial_capital,final_equity,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe,win_rate_pct,trade_count,total_cost
DividendLowvolRotation,sz002049,紫光国微,2025-06-18,2026-06-18,100000.0,120417.27,20.42,21.96,-15.08,0.734,41.67,25,1513.71
MultiFactor,sz002049,紫光国微,2025-06-18,2026-06-18,100000.0,83957.65,-16.04,-17.04,-33.75,-0.581,20.0,10,546.36
GridMartingale,sz002049,紫光国微,2025-06-18,2026-06-18,100000.0,106696.44,6.7,7.17,-8.23,0.611,91.67,37,324.57
DragonTigerPattern,sz002049,紫光国微,2025-06-18,2026-06-18,100000.0,92915.55,-7.08,-7.55,-7.08,-1.534,0.0,2,104.45
ChanLun2B,sz002049,紫光国微,2025-06-18,2026-06-18,100000.0,104664.5,4.66,4.99,-12.88,0.247,33.33,6,356.5
BuyHold,sz002049,紫光国微,2025-06-18,2026-06-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ScenarioRouter,sz002049,紫光国微,2025-06-18,2026-06-18,100000.0,115336.3,15.34,16.47,-16.69,0.595,59.4,271,6005.72
VpBreakout,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,122913.75,22.91,23.54,-6.94,1.117,66.67,6,388.24
DonchianTurtle,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,104366.35,4.37,4.48,-26.52,0.227,60.0,10,590.66
CrossBorderDca,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,131396.34,31.4,32.28,-5.4,1.605,100.0,6,392.66
DividendLowvolRotation,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,97310.39,-2.69,-2.75,-29.33,0.01,42.86,28,1559.59
MultiFactor,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,120708.88,20.71,21.27,-20.69,0.71,50.0,12,831.13
GridMartingale,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,107935.67,7.94,8.14,-9.31,0.473,93.75,57,488.33
DragonTigerPattern,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,90071.18,-9.93,-10.16,-12.09,-1.072,0.0,4,205.82
ChanLun2B,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,97331.8,-2.67,-2.73,-19.14,-0.103,25.0,8,482.19
BuyHold,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ScenarioRouter,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,95360.68,-4.64,-4.75,-29.78,-0.068,58.33,250,5238.36
VpBreakout,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,92793.63,-7.21,-7.38,-14.04,-0.342,25.0,8,417.38
DonchianTurtle,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,120705.0,20.7,21.26,-21.6,0.744,75.0,8,526.0
CrossBorderDca,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,115820.65,15.82,16.24,-16.34,0.781,60.0,10,548.35
DividendLowvolRotation,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,139698.14,39.7,40.85,-17.55,1.1,43.75,32,2201.84
MultiFactor,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,113363.7,13.36,13.71,-20.61,0.503,50.0,12,802.29
GridMartingale,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,108435.78,8.44,8.65,-6.26,0.831,90.91,28,242.22
DragonTigerPattern,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,100998.48,1.0,1.02,-12.85,0.01,50.0,4,201.53
ChanLun2B,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,118161.75,18.16,18.65,-13.13,0.717,50.0,8,532.25
BuyHold,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,107376.57,7.38,7.56,-1.45,1.031,100.0,2,114.43
ScenarioRouter,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,121646.45,21.65,22.23,-30.28,0.685,51.8,292,7689.59
VpBreakout,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,140481.35,40.48,41.66,-20.72,1.393,50.0,12,982.65
DonchianTurtle,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,224145.52,124.15,128.64,-18.42,2.153,55.56,18,2099.49
CrossBorderDca,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,128030.77,28.03,28.81,-9.38,1.635,100.0,6,393.22
DividendLowvolRotation,sh601138,工业富联,2025-06-18,2026-06-18,100000.0,377171.88,277.17,289.69,-21.33,2.921,71.43,42,6041.14
