strategy,code,name,start_date,end_date,initial_capital,final_equity,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe,win_rate_pct,trade_count,total_cost
VpBreakout,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,92793.63,-7.21,-7.38,-14.04,-0.342,25.0,8,417.38
DonchianTurtle,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,120705.0,20.7,21.26,-21.6,0.744,75.0,8,526.0
CrossBorderDca,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,115820.65,15.82,16.24,-16.34,0.781,60.0,10,548.35
DividendLowvolRotation,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,139698.14,39.7,40.85,-17.55,1.1,43.75,32,2201.84
MultiFactor,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,113363.7,13.36,13.71,-20.61,0.503,50.0,12,802.29
GridMartingale,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,108435.78,8.44,8.65,-6.26,0.831,90.91,28,242.22
DragonTigerPattern,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,100998.48,1.0,1.02,-12.85,0.01,50.0,4,201.53
ChanLun2B,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,118161.75,18.16,18.65,-13.13,0.717,50.0,8,532.25
BuyHold,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,107376.57,7.38,7.56,-1.45,1.031,100.0,2,114.43
ScenarioRouter,sh603019,中科曙光,2025-06-18,2026-06-18,100000.0,121646.45,21.65,22.23,-30.28,0.685,51.8,292,7689.59
