strategy,code,name,start_date,end_date,initial_capital,final_equity,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe,win_rate_pct,trade_count,total_cost
VpBreakout,sz000938,紫光股份,2025-06-18,2026-06-18,100000.0,110358.65,10.36,10.63,-21.39,0.468,50.0,8,455.35
DonchianTurtle,sz000938,紫光股份,2025-06-18,2026-06-18,100000.0,110109.56,10.11,10.37,-27.38,0.425,50.0,8,450.45
CrossBorderDca,sz000938,紫光股份,2025-06-18,2026-06-18,100000.0,127046.69,27.05,27.8,-14.49,1.106,100.0,6,399.31
DividendLowvolRotation,sz000938,紫光股份,2025-06-18,2026-06-18,100000.0,117769.28,17.77,18.24,-17.98,0.626,36.36,22,1385.71
MultiFactor,sz000938,紫光股份,2025-06-18,2026-06-18,100000.0,94749.31,-5.25,-5.38,-29.3,-0.069,33.33,12,680.7
GridMartingale,sz000938,紫光股份,2025-06-18,2026-06-18,100000.0,104089.99,4.09,4.19,-8.2,0.241,84.21,57,460.04
DragonTigerPattern,sz000938,紫光股份,2025-06-18,2026-06-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ChanLun2B,sz000938,紫光股份,2025-06-18,2026-06-18,100000.0,86393.07,-13.61,-13.92,-20.48,-0.864,0.0,6,315.93
BuyHold,sz000938,紫光股份,2025-06-18,2026-06-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ScenarioRouter,sz000938,紫光股份,2025-06-18,2026-06-18,100000.0,96387.44,-3.61,-3.7,-22.05,-0.065,57.36,264,5131.57
