date,side,code,name,strategy,price,raw_open,shares,gross_amount,commission,stamp_tax,slippage_cost,total_cost,cash_after,pnl,pnl_pct,reason
2025-11-19,BUY,sh600460,士兰微,CrossBorderDca,28.5829,28.58,3300,94323.43,23.58,0.0,9.43,33.01,5652.99,0.0,0.0,跨境定投：现价 ¥28.720 < MA60×0.95（¥29.099），RSI=23.4，量比=0.82
2026-01-22,SELL,sh600460,士兰微,CrossBorderDca,31.9968,32.0,3300,105589.44,26.4,52.79,10.56,89.75,111163.24,11163.24,11.83,达到 +10% 止盈（当前 +10.3%）
2026-03-18,BUY,sh600460,士兰微,CrossBorderDca,28.4028,28.4,3700,105090.51,26.27,0.0,10.51,36.78,6046.46,0.0,0.0,跨境定投：现价 ¥28.220 < MA60×0.95（¥28.377），RSI=23.1，量比=0.92
2026-03-24,SELL,sh600460,士兰微,CrossBorderDca,26.2774,26.28,3700,97226.28,24.31,48.61,9.72,82.64,103199.81,-7963.42,-7.58,触发 -8% 止损（当前 -9.0%）
2026-03-24,BUY,sh600460,士兰微,CrossBorderDca,26.2826,26.28,3700,97245.72,24.31,0.0,9.72,34.04,5929.78,0.0,0.0,跨境定投：现价 ¥25.850 < MA60×0.95（¥28.362），RSI=29.8，量比=1.33
2026-04-28,SELL,sh600460,士兰微,CrossBorderDca,28.8971,28.9,3700,106919.31,26.73,53.46,10.69,90.88,112768.89,9569.08,9.84,达到 +10% 止盈（当前 +10.0%）
