strategy,code,name,start_date,end_date,initial_capital,final_equity,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe,win_rate_pct,trade_count,total_cost
VpBreakout,sh603501,韦尔股份,2025-06-18,2026-06-18,100000.0,93496.29,-6.5,-6.66,-17.2,-0.595,33.33,6,310.71
DonchianTurtle,sh603501,韦尔股份,2025-06-18,2026-06-18,100000.0,82153.27,-17.85,-18.24,-26.42,-1.369,25.0,8,405.73
CrossBorderDca,sh603501,韦尔股份,2025-06-18,2026-06-18,100000.0,106560.43,6.56,6.73,-27.63,0.318,50.0,12,664.56
DividendLowvolRotation,sh603501,韦尔股份,2025-06-18,2026-06-18,100000.0,97829.46,-2.17,-2.22,-21.52,-0.154,20.0,20,1112.53
MultiFactor,sh603501,韦尔股份,2025-06-18,2026-06-18,100000.0,87395.92,-12.6,-12.89,-18.75,-0.976,0.0,4,184.07
GridMartingale,sh603501,韦尔股份,2025-06-18,2026-06-18,100000.0,99439.35,-0.56,-0.57,-2.35,-1.094,0.0,3,27.66
DragonTigerPattern,sh603501,韦尔股份,2025-06-18,2026-06-18,100000.0,92559.57,-7.44,-7.62,-7.44,-2.161,0.0,2,96.43
ChanLun2B,sh603501,韦尔股份,2025-06-18,2026-06-18,100000.0,94133.18,-5.87,-6.01,-9.56,-1.0,0.0,2,94.82
BuyHold,sh603501,韦尔股份,2025-06-18,2026-06-18,100000.0,87035.0,-12.97,-13.26,-17.18,-1.92,0.0,2,101.0
ScenarioRouter,sh603501,韦尔股份,2025-06-18,2026-06-18,100000.0,74277.32,-25.72,-26.26,-33.96,-1.508,52.63,113,4207.68
