strategy,code,name,start_date,end_date,initial_capital,final_equity,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe,win_rate_pct,trade_count,total_cost
VpBreakout,sh600460,士兰微,2025-06-18,2026-06-18,100000.0,134390.42,34.39,35.37,-18.25,1.194,57.14,14,989.58
DonchianTurtle,sh600460,士兰微,2025-06-18,2026-06-18,100000.0,122011.46,22.01,22.61,-23.8,0.717,42.86,14,908.55
CrossBorderDca,sh600460,士兰微,2025-06-18,2026-06-18,100000.0,112768.89,12.77,13.1,-12.85,0.776,66.67,6,367.1
DividendLowvolRotation,sh600460,士兰微,2025-06-18,2026-06-18,100000.0,151012.04,51.01,52.55,-19.15,1.366,53.85,27,1759.95
MultiFactor,sh600460,士兰微,2025-06-18,2026-06-18,100000.0,122682.98,22.68,23.3,-23.41,0.722,50.0,12,759.03
GridMartingale,sh600460,士兰微,2025-06-18,2026-06-18,100000.0,115017.93,15.02,15.41,-12.53,1.033,85.0,55,441.12
DragonTigerPattern,sh600460,士兰微,2025-06-18,2026-06-18,100000.0,111953.74,11.95,12.27,0.0,1.341,100.0,2,121.26
ChanLun2B,sh600460,士兰微,2025-06-18,2026-06-18,100000.0,110738.53,10.74,11.02,-20.23,0.422,50.0,8,528.47
BuyHold,sh600460,士兰微,2025-06-18,2026-06-18,100000.0,107899.01,7.9,8.1,-5.1,0.689,100.0,2,119.99
ScenarioRouter,sh600460,士兰微,2025-06-18,2026-06-18,100000.0,158767.14,58.77,60.58,-14.94,1.505,65.04,254,7102.86
