code	name	market	market_name	sectors	sector_codes	concepts	concept_codes	updated_at
sh600018	上港集团	sh_main	上证主板	港口|交通运输|航运港口	BK1481|BK1210|BK0450	大盘价值|大盘股|零售概念|长期破净|破净股|F5G概念|免税概念|标准普尔|富时罗素|证金持股|一带一路|体育产业|沪股通|央国企改革|沪企改革|上海自贸|上证180_|融资融券|长江三角|机构重仓|参股银行|HS300_	BK1666|BK1663|BK1655|BK1635|BK1112|BK1088|BK0927|BK0879|BK0867|BK0718|BK0712|BK0708|BK0707|BK0683|BK0672|BK0643|BK0612|BK0596|BK0594|BK0552|BK0525|BK0500	2026-06-20 11:26:42
sh600019	宝钢股份	sh_main	上证主板	板材|普钢|钢铁	BK1367|BK1226|BK0479	大盘价值|大盘股|行业龙头|红利股|价值股|周期股|红利破净股|长期破净|反内卷概念|中特估|破净股|低碳冶金|标准普尔|富时罗素|区块链|MSCI中国|证金持股|航母概念|一带一路|沪股通|央国企改革|特斯拉概念|上证180_|融资融券|长江三角|参股银行|HS300_	BK1666|BK1663|BK1661|BK1641|BK1640|BK1639|BK1636|BK1635|BK1197|BK1139|BK1112|BK0979|BK0879|BK0867|BK0830|BK0821|BK0718|BK0715|BK0712|BK0707|BK0683|BK0644|BK0612|BK0596|BK0594|BK0525|BK0500	2026-06-20 11:26:42
sh600020	中原高速	sh_main	上证主板	高速公路|交通运输|铁路公路	BK1483|BK1210|BK0421	长期破净|破净股|化债(AMC)概念|标准普尔|富时罗素|沪股通|充电桩|央国企改革|参股保险|融资融券|参股银行|创投	BK1635|BK1112|BK0980|BK0879|BK0867|BK0707|BK0700|BK0683|BK0604|BK0596|BK0525|BK0506	2026-06-20 11:26:42
sh600021	上海电力	sh_main	上证主板	火力发电|电力|公用事业	BK1377|BK0428|BK0427	中盘成长|中盘股|油气资源|绿色电力|储能概念|碳交易|标准普尔|富时罗素|氢能源|天然气|MSCI中国|证金持股|沪股通|上证380|中证500|央国企改革|融资融券|风能|长江三角|光伏概念|核能核电|新能源	BK1669|BK1664|BK1649|BK1024|BK0989|BK0966|BK0879|BK0867|BK0864|BK0843|BK0821|BK0718|BK0707|BK0705|BK0701|BK0683|BK0596|BK0595|BK0594|BK0588|BK0577|BK0493	2026-06-20 11:26:42
sh600022	山东钢铁	sh_main	上证主板	板材|普钢|钢铁	BK1367|BK1226|BK0479	2025年报扭亏|破增发价股|破发股|小盘价值|小盘股|长期破净|2025三季报扭亏|反内卷概念|破净股|机器人概念|低价股|人工智能|沪股通|央国企改革|融资融券	BK1679|BK1673|BK1672|BK1668|BK1643|BK1635|BK1628|BK1197|BK1112|BK1090|BK1053|BK0800|BK0707|BK0683|BK0596	2026-06-20 11:26:42
sh600023	浙能电力	sh_main	上证主板	火力发电|电力|公用事业	BK1377|BK0428|BK0427	大盘股|价值股|可控核聚变|超超临界发电|MSCI中国|沪股通|央国企改革|上证180_|融资融券|核能核电|HS300_	BK1663|BK1640|BK1163|BK1087|BK0821|BK0707|BK0683|BK0612|BK0596|BK0577|BK0500	2026-06-20 11:26:42
sh600025	华能水电	sh_main	上证主板	水力发电|电力|公用事业	BK1380|BK0428|BK0427	大盘价值|大盘股|中特估|绿色电力|标准普尔|沪股通|央国企改革|上证180_|水利建设|融资融券|风能|西部大开发|光伏概念|HS300_|新能源	BK1666|BK1663|BK1139|BK1024|BK0879|BK0707|BK0683|BK0612|BK0597|BK0596|BK0595|BK0590|BK0588|BK0500|BK0493	2026-06-20 11:26:42
sh600026	中远海能	sh_main	上证主板	航运|交通运输|航运港口	BK1482|BK1210|BK0450	大盘股|最近多板|昨日高振幅|昨日涨停_含一字|标准普尔|富时罗素|MSCI中国|昨日涨停|证金持股|一带一路|沪股通|央国企改革|海洋经济|上证180_|融资融券|中字头|HS300_|AH股	BK1663|BK1638|BK1633|BK1050|BK0879|BK0867|BK0821|BK0815|BK0718|BK0712|BK0707|BK0683|BK0623|BK0612|BK0596|BK0505|BK0500|BK0499	2026-06-20 11:26:42
sh600027	华电国际	sh_main	上证主板	火力发电|电力|公用事业	BK1377|BK0428|BK0427	中盘价值|中盘股|红利股|超超临界发电|绿色电力|虚拟电厂|标准普尔|富时罗素|MSCI中国|证金持股|沪股通|上证380|央国企改革|融资融券|风能|HS300_|AH股|新能源	BK1670|BK1664|BK1641|BK1087|BK1024|BK0958|BK0879|BK0867|BK0821|BK0718|BK0707|BK0705|BK0683|BK0596|BK0595|BK0500|BK0499|BK0493	2026-06-20 11:26:42
sh600028	中国石化	sh_main	上证主板	炼油化工|炼化及贸易|石油石化	BK1569|BK1274|BK0464	大盘价值|大盘股|权重股|油气资源|红利股|周期股|红利破净股|中特估|破净股|碳交易|标准普尔|富时罗素|氢能源|天然气|MSCI中国|证金持股|一带一路|沪股通|央国企改革|上证180_|上证50_|页岩气|融资融券|机构重仓|中字头|HS300_|AH股	BK1666|BK1663|BK1662|BK1649|BK1641|BK1639|BK1636|BK1139|BK1112|BK0966|BK0879|BK0867|BK0864|BK0843|BK0821|BK0718|BK0712|BK0707|BK0683|BK0612|BK0611|BK0603|BK0596|BK0552|BK0505|BK0500|BK0499	2026-06-20 11:26:42
sh600029	南方航空	sh_main	上证主板	航空运输|交通运输|航空机场	BK1479|BK1210|BK0420	2025年报扭亏|大盘成长|大盘股|零售概念|周期股|免税概念|标准普尔|富时罗素|华为概念|MSCI中国|证金持股|沪股通|央国企改革|通用航空|上证180_|融资融券|机构重仓|转债标的|参股银行|HS300_|AH股	BK1679|BK1665|BK1663|BK1655|BK1639|BK0927|BK0879|BK0867|BK0854|BK0821|BK0718|BK0707|BK0683|BK0625|BK0612|BK0596|BK0552|BK0528|BK0525|BK0500|BK0499	2026-06-20 11:26:42
sh600030	中信证券	sh_main	上证主板	证券Ⅲ|非银金融|证券Ⅱ	BK1366|BK1203|BK0473	金融地产风格|大盘股|权重股|行业龙头|周期股|科创板做市商|标准普尔|富时罗素|华为概念|MSCI中国|证金持股|券商概念|沪股通|互联网金融|上证180_|上证50_|融资融券|深圳特区|参股银行|参股期货|HS300_|AH股	BK1714|BK1663|BK1662|BK1661|BK1639|BK1107|BK0879|BK0867|BK0854|BK0821|BK0718|BK0711|BK0707|BK0637|BK0612|BK0611|BK0596|BK0549|BK0525|BK0524|BK0500|BK0499	2026-06-20 11:26:42
sh600031	三一重工	sh_main	上证主板	工程机械整机|机械设备|工程机械	BK1393|BK1205|BK0739	先进制造风格|大盘股|行业龙头|雅下水电概念|茅指数|工程机械概念|新能源车|标准普尔|富时罗素|工业互联|MSCI中国|军民融合|证金持股|一带一路|沪股通|上证180_|上证50_|融资融券|机构重仓|参股银行|HS300_|AH股	BK1710|BK1663|BK1661|BK1192|BK0999|BK0991|BK0900|BK0879|BK0867|BK0832|BK0821|BK0808|BK0718|BK0712|BK0707|BK0612|BK0611|BK0596|BK0552|BK0525|BK0500|BK0499	2026-06-20 11:26:42
sh600032	浙江新能	sh_main	上证主板	光伏发电|电力|公用事业	BK1375|BK0428|BK0427	破增发价股|小盘成长|小盘股|绿色电力|抽水蓄能|氢能源|沪股通|上证380|中证500|央国企改革|融资融券|风能|光伏概念|新能源	BK1673|BK1667|BK1643|BK1024|BK1003|BK0864|BK0707|BK0705|BK0701|BK0683|BK0596|BK0595|BK0588|BK0493	2026-06-20 11:26:42
sh600033	福建高速	sh_main	上证主板	高速公路|交通运输|铁路公路	BK1483|BK1210|BK0421	价值股|破净股|养老金|沪股通|央国企改革|参股保险|融资融券|参股银行	BK1640|BK1112|BK0823|BK0707|BK0683|BK0604|BK0596|BK0525	2026-06-20 11:26:42
sh600035	楚天高速	sh_main	上证主板	高速公路|交通运输|铁路公路	BK1483|BK1210|BK0421	长期破净|破净股|REITs概念|湖北自贸|车联网(车路云)|ETC|沪股通|央国企改革|融资融券|物联网|创投	BK1635|BK1112|BK0992|BK0926|BK0920|BK0875|BK0707|BK0683|BK0596|BK0554|BK0506	2026-06-20 11:26:42
sh600036	招商银行	sh_main	上证主板	股份制银行Ⅲ|银行|银行Ⅱ	BK1610|BK1283|BK0475	金融地产风格|大盘价值|大盘股|权重股|价值股|破净股|跨境支付|茅指数|标准普尔|富时罗素|MSCI中国|沪股通|互联网金融|上证180_|上证50_|央视50_|融资融券|深圳特区|HS300_|AH股	BK1714|BK1666|BK1663|BK1662|BK1640|BK1112|BK1071|BK0999|BK0879|BK0867|BK0821|BK0707|BK0637|BK0612|BK0611|BK0610|BK0596|BK0549|BK0500|BK0499	2026-06-20 11:26:42
