strategy,code,name,start_date,end_date,initial_capital,final_equity,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe,win_rate_pct,trade_count,total_cost
VpBreakout,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,122913.75,22.91,23.54,-6.94,1.117,66.67,6,388.24
DonchianTurtle,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,104366.35,4.37,4.48,-26.52,0.227,60.0,10,590.66
CrossBorderDca,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,131396.34,31.4,32.28,-5.4,1.605,100.0,6,392.66
DividendLowvolRotation,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,97310.39,-2.69,-2.75,-29.33,0.01,42.86,28,1559.59
MultiFactor,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,120708.88,20.71,21.27,-20.69,0.71,50.0,12,831.13
GridMartingale,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,107935.67,7.94,8.14,-9.31,0.473,93.75,57,488.33
DragonTigerPattern,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,90071.18,-9.93,-10.16,-12.09,-1.072,0.0,4,205.82
ChanLun2B,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,97331.8,-2.67,-2.73,-19.14,-0.103,25.0,8,482.19
BuyHold,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ScenarioRouter,sz000977,浪潮信息,2025-06-18,2026-06-18,100000.0,95360.68,-4.64,-4.75,-29.78,-0.068,58.33,250,5238.36
